Donation ID,Donor ID,Recipient ID,Item,Location,Successful?
7449,92,85,Durable Hiking Boots,Kozy,TRUE
6179,69,39,Digital Kitchen Timer,Ariguani,TRUE
3326,41,22,Aged White Cheddar Popcorn,Arroyo Seco,TRUE
2413,51,78,Running Shorts,Agios Georgios,TRUE
9333,1,39,Electric Pressure Washer,Miandoab,TRUE
4233,92,97,Vanilla Protein Powder,Sandaowan,TRUE
3397,100,96,Fruit Infuser Water Bottle,Fatualam,TRUE
9205,5,37,Flavored Rice Cakes,Jaba,TRUE
1837,3,38,Hand Mixer,Las Mesas,TRUE
2783,76,12,Fresh Strawberries,Miskolc,TRUE
198,16,9,Travel Shoe Bags Set,Nubma,TRUE
2219,57,62,Turmeric Ginger Tea,Nanshi,TRUE
6115,51,28,Sweet Chili Thai Sauce,Codajas,TRUE
3890,27,55,Eco-Friendly Yoga Mat,Novokizhinginsk,FALSE
1673,53,32,Pizza Stone,Wilmington,TRUE
4232,40,62,Spaghetti Squash,Karlstad,TRUE
6823,51,15,Foot Spa Bath Massager,Tacoma,TRUE
7132,7,24,Fashionable Belt Bag,Coja,TRUE
2334,27,71,Kale Caesar Salad Kit,Dawuhan,TRUE
